WHACK | 4th guess | SUCCESS
NATAL | 4th guess | SUCCESS
CHAIN | 5th guess | SUCCESS
ELITE | 4th guess | SUCCESS
HELIX | 4th guess | SUCCESS
SNIPE | 5th guess | SUCCESS
BITTY | 6th guess | FAIL
WITCH | 6th guess | FAIL
COVET | 4th guess | SUCCESS
TATER | 6th guess | FAIL
-> At this point, I made an addition which takes into account the positioning of the yellow letters and filters the word list by them:
PLUCK | 5th guess | SUCCESS
BUGGY | 4th guess | SUCCESS
GLOVE | 4th guess | SUCCESS
KNOCK | 4th guess | SUCCESS
PILAF | 4th guess | SUCCESS
JUROR | 4th guess | SUCCESS
WRYLY | 4th guess | SUCCESS
SPRIG | 4th guess | SUCCESS
LUCKY | 4th guess | SUCCESS
CRISP | 4th guess | SUCCESS
EMBER | 5th guess | SUCCESS
SPLAT | 4th guess | SUCCESS
SURLY | 4th guess | SUCCESS
BAYOU | 4th guess | SUCCESS
DITTO | 4th guess | SUCCESS
BEZEL | 6th guess | SUCCESS
SUGAR | 4th guess | SUCCESS
PLATE | 4th guess | SUCCESS
JAUNT | 6th guess | SUCCESS
OUTDO | 4th guess | SUCCESS
BONGO | 4th guess | SUCCESS
SHAKY | 4th guess | SUCCESS
CHEAP | 5th guess | SUCCESS
SKUNK | 5th guess | SUCCESS
ANKLE | 5th guess | SUCCESS
GUILT | 4th guess | SUCCESS
BLAST | 4th guess | SUCCESS
BLOWN | 6th guess | SUCCESS
SPEND | 4th guess | SUCCESS
PASTE | 4th guess | SUCCESS
FETCH | 4th guess | SUCCESS
MUSHY | 6th guess | SUCCESS
SPELL | 5th guess | SUCCESS
AGILE | 4th guess | SUCCESS
MURAL | 4th guess | SUCCESS
ADMIT | 5th guess | SUCCESS
SCOWL | 5th guess | SUCCESS
TWIRL | 4th guess | SUCCESS
LOGIN | 4th guess | SUCCESS
WROTE | 4th guess | SUCCESS
SLOOP | 5th guess | SUCCESS
HOVEL | 4th guess | SUCCESS
SPORT | 5th guess | SUCCESS
POLAR | 4th guess | SUCCESS
QUASI | 5th guess | SUCCESS
GAYER | 5th guess | SUCCESS
STASH | 4th guess | SUCCESS
GIVER | 4th guess | SUCCESS
CORER | 4th guess | SUCCESS
SWING | 4th guess | SUCCESS
ALOOF | 5th guess | SUCCESS
MOWER | 6th guess | SUCCESS
TUBER | 6th guess | SUCCESS
SNORT | 4th guess | SUCCESS
COACH | 5th guess | SUCCESS
LUNAR | 4th guess | SUCCESS
LOCUS | 5th guess | SUCCESS
BOOBY | 5th guess | SUCCESS
AXIOM | 4th guess | SUCCESS
DRESS | 4th guess | SUCCESS
GROVE | 5th guess | SUCCESS
STEEP | 4th guess | SUCCESS
ORBIT | 4th guess | SUCCESS
FRIED | 6th guess | FAIL
SAVVY | 5th guess | SUCCESS
ICILY | 4th guess | SUCCESS
TOWER | 5th guess | SUCCESS
FACET | 6th guess | SUCCESS
RADIO | 5th guess | SUCCESS
APNEA | 4th guess | SUCCESS
TACIT | 5th guess | SUCCESS
WEIRD | 4th guess | SUCCESS
VICAR | 5th guess | SUCCESS
HUSSY | 5th guess | SUCCESS
SCANT | 4th guess | SUCCESS
SNIDE | 4th guess | SUCCESS
WRECK | 5th guess | SUCCESS
CHASE | 5th guess | SUCCESS
LURCH | 4th guess | SUCCESS
HUMOR | 5th guess | SUCCESS
PIETY | 4th guess | SUCCESS
SWIRL | 4th guess | SUCCESS
ANION | 6th guess | Word not in list
AVERT | 4th guess | SUCCESS
FLOOD | 4th guess | SUCCESS
PENCE | 4th guess | SUCCESS
PINEY | 4th guess | SUCCESS
WINCE | 5th guess | SUCCESS
AMEND | 6th guess | Word not in list
ANGST | 4th guess | SUCCESS
LADEN | 4th guess | SUCCESS
SPILT | 4th guess | SUCCESS
COBRA | 4th guess | SUCCESS
PEKOE | 5th guess | Word not in list
ALIKE | 5th guess | SUCCESS
FLIER | 5th guess | SUCCESS
TAPIR | 4th guess | SUCCESS
EMERY | 4th guess | SUCCESS
VOICE | 4th guess | SUCCESS
AROMA | 5th guess | SUCCESS
BENCH | 4th guess | SUCCESS
OZONE | 4th guess | SUCCESS
TULIP | 4th guess | SUCCESS
MONEY | 5th guess | SUCCESS
TWICE | 4th guess | SUCCESS
BRAVE | 6th guess | SUCCESS
BLOWN | 4th guess | SUCCESS
MATEY | 4th guess | SUCCESS
TRICK | 5th guess | SUCCESS
ALLOY | 5th guess | SUCCESS
JAUNT | 5th guess | SUCCESS
